trial,label,status,solver_success,mission_success,mission_success_slack,raw_path_ok,path_ok_slack,progress,time_s,downrange_km,ellipsoidal_altitude_km,velocity_m_s,mass_kg,x_m,y_m,z_m
7,rand_06,PASS_RAW,1,1,1,1,1,0.0166666666667,9.97600313502,0.0414986670501,0.272843217181,430.92216987,4743558.93543,-710547.245134,-5692539.8754,2778881.6215
7,rand_06,PASS_RAW,1,1,1,1,1,0.02,11.971203762,0.0621511325421,0.394085846338,435.146973315,4697271.08638,-709712.054693,-5692754.16959,2778934.17703
7,rand_06,PASS_RAW,1,1,1,1,1,0.0233333333333,13.966404389,0.0883546388275,0.539308729113,440.122877846,4650983.39898,-708873.984751,-5692990.49249,2778997.08362
7,rand_06,PASS_RAW,1,1,1,1,1,0.0266666666667,15.961605016,0.120981113544,0.709147064472,445.905671377,4604695.88951,-708032.232192,-5693249.52931,2779070.5937
7,rand_06,PASS_RAW,1,1,1,1,1,0.03,17.956805643,0.160945621222,0.903959193013,452.552742401,4558408.58405,-707185.92102,-5693531.72516,2779154.83687
7,rand_06,PASS_RAW,1,1,1,1,1,0.0333333333333,19.95200627,0.209406417051,1.1245241325,460.121752834,4512121.51494,-706333.979236,-5693837.93129,2779250.11969
7,rand_06,PASS_RAW,1,1,1,1,1,0.0366666666667,21.9472068971,0.26755121843,1.37132030051,468.65887156,4465834.72304,-705475.272515,-5694168.73575,2779356.61573
7,rand_06,PASS_RAW,1,1,1,1,1,0.04,23.9424075241,0.336705584895,1.64490423738,478.225418763,4419548.27466,-704608.537666,-5694524.81425,2779474.52834
7,rand_06,PASS_RAW,1,1,1,1,1,0.0433333333333,25.9376081511,0.418500912945,1.94622421229,488.85269143,4373262.24153,-703732.249477,-5694907.2312,2779604.22297
7,rand_06,PASS_RAW,1,1,1,1,1,0.0466666666667,27.9328087781,0.513934221284,2.27470087318,500.537306824,4326976.71674,-702845.34723,-5695315.60811,2779745.41396
7,rand_06,PASS_RAW,1,1,1,1,1,0.05,29.9280094051,0.625111117894,2.63179664851,513.311390974,4280691.84016,-701945.888724,-5695751.52889,2779898.67692
7,rand_06,PASS_RAW,1,1,1,1,1,0.0533333333333,31.9232100321,0.753580407898,3.01763993878,527.181592076,4234407.818,-701032.339942,-5696215.31673,2780064.01872
7,rand_06,PASS_RAW,1,1,1,1,1,0.0566666666667,33.9184106591,0.901076948589,3.43256888171,542.153508029,4188124.97067,-700103.00375,-5696707.50536,2780241.53197
7,rand_06,PASS_RAW,1,1,1,1,1,0.06,35.9136112861,1.06967793289,3.87725470321,558.269724214,4141843.98087,-699155.877264,-5697228.96961,2780431.44411
7,rand_06,PASS_RAW,1,1,1,1,1,0.0633333333333,37.9088119131,1.26105301635,4.35165875631,575.486837263,4095565.94846,-698189.285443,-5697779.89778,2780633.68312
