phase,interval_index,solver_ok,end_position_error_m,end_velocity_error_m_s,end_mass_error_kg,max_relative_error,sampled_max_q_pa,sampled_max_g,q_margin_pa,g_margin
boost,111,1,5.15670534785e-07,3.48941071594e-09,0,2.97249377179e-12,2751.89741408,3.61448322354,-32248.1025859,-0.385516776457
boost,112,1,5.41836791194e-07,2.42075267478e-09,4.65661287308e-10,2.3545419246e-12,2521.74450775,3.6567412915,-32478.2554923,-0.343258708504
boost,113,1,4.00616744445e-06,3.15605629986e-06,0,1.73256639716e-09,2308.62172984,3.69991205005,-32691.3782702,-0.300087949955
boost,114,1,5.79263597273e-07,5.07537405144e-09,4.65661287308e-10,3.94406560011e-12,2130.02053635,3.74408580226,-32869.9794636,-0.25591419774
boost,115,1,6.09514438768e-07,5.5127750389e-09,4.65661287308e-10,4.17395708464e-12,1961.89431295,3.78929487744,-33038.105687,-0.210705122565
boost,116,1,6.40618612225e-07,5.97681900192e-09,2.32830643654e-10,4.41409397959e-12,1803.29822538,3.83557556672,-33196.7017746,-0.164424433278
boost,117,1,8.85858381342e-06,6.79434147801e-06,2.32830643654e-10,3.46389630798e-09,1654.04439405,3.88293500394,-33345.9556059,-0.117064996063
boost,118,1,6.99883066924e-07,7.0502550804e-09,2.32830643654e-10,4.99581164472e-12,1525.62708791,3.93143750551,-33474.3729121,-0.0685624944933
boost,119,1,7.27589251444e-07,7.48972217976e-09,2.32830643654e-10,5.19271857795e-12,1405.77099345,3.96898812254,-33594.2290066,-0.0310118774585
boost,120,1,7.27920087413e-07,7.58175640472e-09,4.65661287308e-10,5.14263830326e-12,1290.84140819,3.96902649927,-33709.1585918,-0.0309735007305
boost,121,1,7.28423990168e-07,7.66854067861e-09,2.32830643654e-10,5.09180284336e-12,1180.63732309,3.9690125663,-33819.3626769,-0.030987433704
boost,122,1,7.30673642735e-07,7.75162146765e-09,2.32830643654e-10,5.04007873624e-12,1075.51021291,3.96899401552,-33924.4897871,-0.0310059844828
boost,123,1,7.31351415064e-07,7.8276809367e-09,0,4.98795493505e-12,975.738822808,3.96897351074,-34024.2611772,-0.0310264892591
boost,124,1,7.31439458863e-07,7.89839682418e-09,2.32830643654e-10,4.9346805134e-12,881.530790713,3.96895163893,-34118.4692093,-0.0310483610688
boost,125,1,7.34335595738e-07,7.96262103857e-09,2.32830643654e-10,4.88044281758e-12,793.025556605,3.96892857184,-34206.9744434,-0.031071428165
boost,126,1,7.34387057083e-07,8.01923821555e-09,0,4.82482817091e-12,710.297978547,3.96890434968,-34289.7020215,-0.0310956503236
