run,final_altitude_km,final_velocity_m_s,fuel_margin_kg,orbit_ok,fuel_ok,strict_success,status
351,439.42278554044293,7714.99568364903,210984.02409928094,0,1,0,MISS
352,446.4979248834001,7743.249272944881,206295.2056902331,0,1,0,MISS
353,488.7896815830721,7861.609793883834,198069.1486019882,0,1,0,MISS
354,375.11685407447817,7538.746300671577,223665.62363677548,0,1,0,MISS
355,568.2745047132178,8124.861818752131,174012.5297886551,0,1,0,MISS
356,550.0709392749509,8041.812127657382,189372.38393330923,0,1,0,MISS
357,432.9487980907904,7696.550921744628,212457.38786027895,0,1,0,MISS
358,439.10583666560615,7714.119782755302,210105.09487466462,0,1,0,MISS
359,447.316586759774,7729.134348260631,212428.36420969624,0,1,0,MISS
360,557.1877890269635,8074.9756737236685,183890.06120397738,0,1,0,MISS
361,349.4586915407376,7463.526127716223,231352.98564089008,0,1,0,MISS
362,298.3546424114862,7328.9643686172485,236128.18095298327,0,1,0,MISS
363,257.02023616821134,7213.967591546569,262737.23643495253,0,1,0,MISS
364,450.30580570299924,7729.860979475945,219211.62298021006,0,1,0,MISS
365,327.85373865622284,7402.025010012959,238320.25772962574,0,1,0,MISS
366,434.4966158399656,7695.7679698122765,214068.10944531712,0,1,0,MISS
367,308.7999951306414,7351.379161577364,241069.37735316425,0,1,0,MISS
368,454.36195734459625,7769.729229823476,201051.13367653132,0,1,0,MISS
369,381.4526420002151,7550.333471998036,223548.7816228805,0,1,0,MISS
370,353.00349961958733,7470.7878415975565,230349.93442761438,0,1,0,MISS
371,519.287077526819,7954.98160057354,193402.21585909865,0,1,0,MISS
372,356.81501309952046,7473.663781714402,236295.45269631728,0,1,0,MISS
373,345.1899866270795,7451.481888464453,235625.29703291517,0,1,0,MISS
374,434.2298815024188,7695.613855946357,214851.58568333637,0,1,0,MISS
375,581.5084316381951,8145.232494539072,181227.82920745027,0,1,0,MISS
376,586.5313682727934,8175.125768245785,173936.7456973155,0,1,0,MISS
377,468.5771347394697,7796.519485439297,206734.4873559646,0,1,0,MISS
378,464.12320754673704,7795.5758535737605,199381.29153822118,0,1,0,MISS
379,564.1916204267442,8095.861647172554,181184.2902254552,0,1,0,MISS
380,611.4983579279594,8242.805923765294,172716.54770176514,0,1,0,MISS
381,302.35468649280256,7335.409834695305,241344.16930271836,0,1,0,MISS
382,386.039260062485,7570.129053301646,217154.53891601885,0,1,0,MISS
