time_s,specific_energy_J_per_kg,angular_momentum_m2_s,rel_energy_drift,rel_h_drift
5046.628495600418,-29316889.31138851,52055165819.85434,1.6496654620302604e-10,8.248323132625413e-11
5077.536094598617,-29316889.31136067,52055165819.87907,1.659162656425743e-10,8.295824408028881e-11
5107.583990056078,-29316889.311337106,52055165819.89999,1.6671998191968738e-10,8.336012157845699e-11
5136.621349114499,-29316889.311317854,52055165819.917076,1.6737667847622812e-10,8.368842412984165e-11
5164.393152529196,-29316889.31130308,52055165819.93019,1.678806371726756e-10,8.394036702530158e-11
5187.345788009329,-29316889.31129833,52055165819.93442,1.6804265112576954e-10,8.402156328131367e-11
5210.295187743954,-29316889.31129358,52055165819.93863,1.6820466507886347e-10,8.410246641004775e-11
5232.108323301463,-29316889.311290067,52055165819.94175,1.6832449186926943e-10,8.416241093840325e-11
5256.57450457156,-29316889.311283108,52055165819.94794,1.6856185819427294e-10,8.428127404964118e-11
5281.810025598381,-29316889.311274737,52055165819.95536,1.6884738396101966e-10,8.442388047039888e-11
5306.608592797685,-29316889.311267197,52055165819.96206,1.6910457316969583e-10,8.455256334545055e-11
5330.229733795266,-29316889.31126155,52055165819.96707,1.692972109366687e-10,8.464885565628079e-11
5349.2027154883535,-29316889.31126002,52055165819.96843,1.6934943661096015e-10,8.467494398402474e-11
5368.175265858506,-29316889.311258502,52055165819.96978,1.6940115400618308e-10,8.470088574812969e-11
5385.799453943957,-29316889.311257504,52055165819.97066,1.694352087037746e-10,8.471774056661596e-11
5400.0,-29316889.311257243,52055165819.97089,1.6944410358747386e-10,8.472213747578629e-11
