n,p_orbit_fail,p_fuel_fail,p_q_violate,p_g_violate,p_any_failure
147,0.9387755102040817,0.0,0.54421768707483,0.5034013605442177,0.9795918367346939
148,0.9391891891891891,0.0,0.5405405405405406,0.5,0.9797297297297297
149,0.9395973154362416,0.0,0.5436241610738255,0.5033557046979866,0.9798657718120806
150,0.94,0.0,0.54,0.5066666666666667,0.98
151,0.9403973509933775,0.0,0.543046357615894,0.5033112582781457,0.9801324503311258
152,0.9407894736842105,0.0,0.5460526315789473,0.506578947368421,0.9802631578947368
153,0.9411764705882353,0.0,0.5490196078431373,0.5032679738562091,0.9803921568627451
154,0.9415584415584416,0.0,0.551948051948052,0.5064935064935064,0.9805194805194806
155,0.9419354838709677,0.0,0.5548387096774193,0.5096774193548387,0.9806451612903225
156,0.9358974358974359,0.0,0.5576923076923077,0.5128205128205128,0.9807692307692307
157,0.9363057324840764,0.0,0.5605095541401274,0.5095541401273885,0.9808917197452229
158,0.930379746835443,0.0,0.5569620253164557,0.5063291139240507,0.9746835443037974
159,0.9245283018867925,0.0,0.559748427672956,0.5031446540880503,0.9748427672955975
160,0.925,0.0,0.55625,0.5,0.975
161,0.9254658385093167,0.0,0.5527950310559007,0.4968944099378882,0.9751552795031055
162,0.9259259259259259,0.0,0.5493827160493827,0.5,0.9753086419753086
163,0.9263803680981595,0.0,0.5521472392638037,0.49693251533742333,0.9754601226993865
164,0.926829268292683,0.0,0.5487804878048781,0.49390243902439024,0.975609756097561
165,0.9272727272727272,0.0,0.5515151515151515,0.4909090909090909,0.9757575757575757
166,0.927710843373494,0.0,0.5481927710843374,0.4879518072289157,0.9759036144578314
167,0.9281437125748503,0.0,0.5508982035928144,0.49101796407185627,0.9760479041916168
168,0.9226190476190477,0.0,0.5535714285714286,0.49404761904761907,0.9761904761904762
169,0.9171597633136095,0.0,0.5502958579881657,0.4911242603550296,0.9704142011834319
170,0.9176470588235294,0.0,0.5529411764705883,0.48823529411764705,0.9705882352941176
171,0.9181286549707602,0.0,0.5555555555555556,0.4853801169590643,0.9707602339181286
172,0.9186046511627907,0.0,0.5523255813953488,0.4883720930232558,0.9709302325581395
173,0.9190751445086706,0.0,0.5491329479768786,0.48554913294797686,0.9710982658959537
174,0.9195402298850575,0.0,0.5517241379310345,0.4885057471264368,0.9712643678160919
175,0.92,0.0,0.5485714285714286,0.49142857142857144,0.9714285714285714
176,0.9204545454545454,0.0,0.5511363636363636,0.48863636363636365,0.9715909090909091
177,0.9209039548022598,0.0,0.5536723163841808,0.4915254237288136,0.9717514124293786
178,0.9213483146067416,0.0,0.550561797752809,0.4887640449438202,0.9719101123595506
179,0.9217877094972067,0.0,0.553072625698324,0.49162011173184356,0.9720670391061452
180,0.9222222222222223,0.0,0.5555555555555556,0.4888888888888889,0.9722222222222222
181,0.9226519337016574,0.0,0.5580110497237569,0.4861878453038674,0.9723756906077348
182,0.9230769230769231,0.0,0.5604395604395604,0.489010989010989,0.9725274725274725
183,0.9234972677595629,0.0,0.5628415300546448,0.4918032786885246,0.9726775956284153
184,0.9239130434782609,0.0,0.5597826086956522,0.4945652173913043,0.9728260869565217
185,0.9243243243243243,0.0,0.5567567567567567,0.4918918918918919,0.972972972972973
186,0.9247311827956989,0.0,0.5591397849462365,0.4946236559139785,0.9731182795698925
187,0.9251336898395722,0.0,0.5614973262032086,0.4919786096256685,0.9732620320855615
188,0.925531914893617,0.0,0.5638297872340425,0.48936170212765956,0.973404255319149
189,0.9259259259259259,0.0,0.5661375661375662,0.48677248677248675,0.9735449735449735
190,0.9263157894736842,0.0,0.5631578947368421,0.4842105263157895,0.9736842105263158
191,0.9267015706806283,0.0,0.5654450261780105,0.4816753926701571,0.9738219895287958
