run,thrust_multiplier,isp_multiplier,density_multiplier,terminal_valid,orbit_ok,fuel_ok,fuel_margin_kg,trajectory_valid,max_q_pa,max_g,orbit_fail,fuel_fail,q_violation,g_violation,any_failure
371,0.999466540045112,0.9995951411669909,1.0610318304829025,1,1,1,216522.08184971497,1,37109.33401863458,3.9958020225177413,0,0,1,0,1
372,0.9978915771317934,1.0118329428877448,1.015358612671452,1,0,1,229947.88908585673,1,36277.17370109836,3.9091351407437522,1,0,1,0,1
373,0.9790434668786334,1.0131580666416895,1.0852438143261791,1,0,1,249514.94801662356,1,39841.054310082975,3.723330389715165,1,0,1,0,1
374,0.9922361875326421,0.9841329921765349,1.0076998655629945,1,1,1,208296.6961614521,1,35691.18595978176,4.037915964261138,0,0,1,1,1
375,0.9744871952433687,1.0008115814323881,1.1088836884035604,1,0,1,242267.31422450073,1,40011.979736814676,3.745706983389546,1,0,1,0,1
376,0.9983619344940146,1.029852175674501,0.9390596638090417,1,0,1,246471.66425838735,1,34640.11736042573,3.8163243267280285,1,0,0,0,1
377,0.961570870846136,1.0120239902892212,1.2361694653297584,1,0,1,265431.87218766165,1,46601.11878429813,3.567907040758626,1,0,1,0,1
378,1.0071691582939586,0.9930224863472572,1.067963605750398,1,0,1,202383.01287435862,1,38714.27088363298,4.153348491877395,1,0,1,1,1
379,1.0226854841296813,0.9850635586371583,0.9181170514636967,1,0,1,178829.31216696987,1,35448.37554644794,4.45507715438766,1,0,1,1,1
380,0.9799979055696869,1.008649105369942,0.8798715075997909,1,0,1,244335.39768405678,1,32055.022372995318,3.7574052546185084,1,0,0,0,1
381,1.0350529394073198,0.9995481372517635,1.0034859064273893,1,0,1,181457.09449943935,1,38838.46534571394,4.480791541587022,1,0,1,1,1
382,0.9476883148650376,1.0152069800165786,0.9901745553858992,1,0,1,281812.3307699635,1,38888.94062778874,3.4335358259411155,1,0,1,0,1
383,0.9853072148284766,0.9933522882075916,1.0190956893925045,1,0,1,224361.64485165064,1,35833.45679231126,3.8919960141867485,1,0,1,0,1
384,0.9833636504644216,1.0069292931052216,0.8357873948656257,1,0,1,239415.32023852435,1,30223.59601354443,3.798412520961014,1,0,0,0,1
385,1.0170756223923358,0.9978235605696687,1.0160237409548127,1,0,1,197417.77762680163,1,37547.57011216137,4.2419559693741045,1,0,1,1,1
386,1.031521883978077,1.0044150220079184,1.0568505723715476,1,0,1,189850.4919163754,1,40075.66755720505,4.378130131479576,1,0,1,1,1
387,1.0065548451539998,0.9827883382042331,0.9722042686217551,1,0,1,192609.38330937066,1,36034.34178997936,4.24481983432903,1,0,1,1,1
388,1.0008200179725997,0.9956808957733966,0.9056944662304391,1,0,1,211318.8529021932,1,32139.689309985577,4.046090168854389,1,0,0,1,1
389,0.9964923688646408,0.9986012307293495,1.0119954162990705,1,0,1,218472.90357793373,1,35465.20846811013,3.9721212916331248,1,0,1,0,1
