run,final_altitude_km,final_velocity_m_s,success
265,441.57946916813313,7725.0754939601475,0
266,347.77336174880435,7465.110042935091,0
267,523.0160008423188,7958.457102538568,0
268,464.9451619275883,7781.258463097998,0
269,431.8570713001555,7698.803310520133,0
270,509.3059756406918,7924.340611458866,0
271,324.1521500932621,7398.922965611003,0
272,459.2971337336218,7762.606918168984,0
273,403.2275746222539,7604.399523562214,0
274,476.68848493982756,7832.642586960473,0
275,316.7770192153258,7376.590232640653,0
276,472.8631382626295,7826.828354438106,0
277,526.1196099417843,7984.512835642108,0
278,474.4758861665865,7824.471449263693,0
279,265.37116148085425,7238.298904119431,0
280,342.5250811497383,7446.310395163948,0
281,460.57595445556007,7775.077720746054,0
282,383.0818204807751,7547.529289982116,0
283,524.6837066975022,7985.232949446975,0
284,346.9523848768752,7450.844247028234,0
285,388.50868237652446,7571.640332653737,0
286,489.77807786264736,7871.397174982185,0
287,471.3170539663155,7817.361938677516,0
288,416.01746514548364,7645.202214355066,1
289,259.60547577932385,7220.660955760756,0
290,546.240836110996,8033.656065072515,0
291,281.0512331722742,7276.094721600975,0
292,536.0252533705188,8020.046049061025,0
293,613.3886611727244,8254.92550217853,0
294,461.43494228941296,7778.506227219024,0
295,479.83387421501146,7836.611180407536,0
296,414.96147417175956,7646.509514473266,1
297,374.1682509629037,7527.6908383201435,0
298,473.04141429452227,7807.942970733497,0
299,356.9522594895894,7478.437259071194,0
300,248.0903807416577,7194.825033565995,0
301,318.29564811603444,7379.99296739929,0
302,444.25956993203516,7724.309596334791,0
303,411.8292511271248,7640.133172451723,1
304,538.1825253959196,8010.505541406002,0
305,578.6027911920119,8144.478055129401,0
306,368.80280452995095,7512.229032160625,0
307,276.0388929152563,7264.683250211761,0
308,418.37676566457094,7656.986042401413,1
309,384.6703941700468,7553.538218417593,0
310,392.93296113258225,7578.196695677187,0
311,351.5008724019015,7459.909601292057,0
312,340.0788811144093,7442.508343253377,0
313,331.4496679840721,7408.60139022754,0
314,595.7245636323169,8194.837717624108,0
315,613.3929699266739,8254.915635403486,0
316,405.3613818453588,7606.1384960673795,0
317,305.72675432693956,7339.7404314475825,0
318,369.37028254689,7509.170141586303,0
319,420.71059569433703,7654.168985217282,1
320,427.379066207625,7670.6060317053825,1
321,662.139342186979,8431.22179142306,0
322,434.8736496875705,7705.11409000097,0
323,522.9577526276139,7948.746877454083,0
324,461.59857669338214,7779.818280787027,0
325,404.67064267564194,7611.711607601907,0
326,366.3348561104601,7507.7012997877255,0
327,247.75030539363343,7191.531560010937,0
328,435.6545552737247,7716.041539695103,0
329,368.1158291827906,7517.165952988745,0
330,357.7783295602845,7481.071692798371,0
331,563.4952550657708,8093.635471255446,0
332,343.89049138417465,7448.38562810027,0
333,457.78106048014854,7770.775592981941,0
334,379.0550846217014,7537.733880856796,0
335,406.16702877015433,7600.602900189579,0
336,387.3120761731761,7560.676469319835,0
337,396.7030266793659,7588.87783155969,0
338,431.59416352390497,7699.131562671155,0
339,556.0145313394125,8057.05277729883,0
340,373.70902092772627,7519.181324071597,0
341,401.36365128340947,7604.325180070306,0
342,436.70271926940137,7701.598395656604,0
343,445.23405142750966,7729.907803452824,0
344,467.87756606118006,7786.3884840064675,0
345,252.6456553520076,7202.275072158152,0
346,476.176114379948,7812.52287557279,0
347,434.25100618144126,7690.489796250457,0
348,552.4734460308626,8058.439314410577,0
349,312.7530625193967,7349.7743269688135,0
350,324.7230124043496,7395.387856868179,0
351,439.39028356838503,7715.017155277752,0
352,446.4532564810235,7743.277585180898,0
353,488.66818745210486,7861.687933942403,0
354,375.20087041404753,7538.688420917754,0
355,568.0139774094578,8125.017535195458,0
356,549.8431778488941,8041.957292933656,0
357,432.9274601444229,7696.5653237918095,0
358,439.07202825974485,7714.139428297338,0
359,447.26878814626673,7729.162479094559,0
360,556.9464011807395,8075.128827589357,0
361,349.5875924662407,7463.427840068784,0
362,298.572052397063,7328.778805004174,0
363,257.320255470112,7213.734419323765,0
364,450.253558310112,7729.904544980651,0
365,328.0209315680927,7401.897487597559,0
366,434.4725809259843,7695.783389810466,0
367,309.0008553147614,7351.220045216143,0
368,454.30245559435525,7769.765598029483,0
369,381.5222832475686,7550.282088777002,0
370,353.12468439582364,7470.694796879346,0
371,519.1125914716981,7955.093943869411,0
372,356.92958055214586,7473.580594972365,0
373,345.33005649500154,7451.385526690292,0
374,434.205210548901,7695.633331992875,0
375,581.2254716442786,8145.403230731808,0
376,586.2395148724066,8175.297397026243,0
377,468.4925414400073,7796.575221482341,0
378,464.04406217877755,7795.619698248186,0
379,563.9393216299852,8096.013933364692,0
380,611.164572795025,8243.002304856407,0
381,302.5658122566342,7335.238021405067,0
382,386.1011702983845,7570.079268158662,0
383,510.007867567624,7931.310785017945,0
384,466.92599144488014,7793.596497608706,0
385,470.2465488620447,7790.916695465651,0
386,483.14653543026094,7841.691885847039,0
387,382.3449349072231,7549.698045670386,0
388,489.30454390168006,7864.188945622122,0
389,455.8230679143956,7765.968229009906,0
390,305.6100817462075,7349.288115152729,0
391,309.0978685574569,7348.8886367483865,0
392,587.7543101400743,8172.681869003596,0
393,371.22022593477743,7526.2447265229075,0
394,528.1657994340602,7980.191482773862,0
395,357.9713575987155,7479.507306203115,0
396,384.7847928540185,7561.01589093616,0
397,390.21958935477306,7576.305754808497,0
398,398.90681126507747,7583.678927065727,0
399,296.75729879778436,7314.13614190378,0
400,330.9954618411455,7404.904998545747,0
401,475.7827396242628,7821.551592630573,0
402,530.5604683723599,7991.956020423359,0
403,461.2834315172853,7783.144476931455,0
404,436.817501138824,7694.7423694324325,0
405,276.99196720607483,7267.57460864268,0
406,320.34132879967893,7377.933395593902,0
407,495.4633474242147,7883.248122835969,0
408,281.04390403878875,7284.981762449772,0
409,249.68425844714605,7189.434147354478,0
410,429.87752226438744,7681.232783529194,0
411,512.8410829974935,7919.680137728588,0
412,351.80103148530515,7464.843882649829,0
413,325.3622254180368,7394.7754281952875,0
414,428.16699279811513,7687.931938195527,0
415,488.66786452632863,7854.0578009639175,0
416,471.5167656430798,7810.173031629065,0
417,325.53868242350404,7393.142073306135,0
