time_s,delta_r_m,log_delta_r
151.487666158,342.067119464,5.83500697355
151.787048897,344.184888515,5.8411789796
152.086431637,346.314157007,5.84734633133
152.385814376,348.453769051,5.85350556444
152.685197116,350.603476067,5.85965588706
152.984579855,352.764056904,5.86579943942
153.283962594,354.928820501,5.87191726374
153.583345334,357.094050842,5.87799919482
153.882728073,359.25975856,5.88404568829
154.182110813,361.425930666,5.89005712618
154.481493552,363.592554339,5.89603388448
154.780876292,365.759616912,5.90197633323
155.080259031,367.927105879,5.9078848367
155.379641771,370.095008461,5.9137597523
155.67902451,372.263314015,5.91960143725
155.978407249,374.432019802,5.92541026392
156.277789989,376.601137172,5.93118663579
156.577172728,378.770650388,5.93693087781
156.876555468,380.940551078,5.94264332904
157.175938207,383.110828755,5.94832431744
157.475320947,385.281478256,5.95397417951
157.774703686,387.452498276,5.95959325619
158.074086426,389.62388697,5.96518188141
158.373469165,391.795640589,5.97074037883
158.672851904,393.96775447,5.9762690645
158.972234644,396.140222608,5.98176824607
159.271617383,398.313030273,5.98723820437
159.571000123,400.486155261,5.99267919727
159.870382862,402.65961055,5.9980915662
160.169765602,404.8333878,6.00347559431
160.469148341,407.007489426,6.00883158681
160.768531081,409.181915703,6.01415983883
161.06791382,411.356662505,6.01946063017
161.367296559,413.531725263,6.02473423525
161.666679299,415.707099479,6.02998092448
161.966062038,417.882780724,6.03520096431
162.265444778,420.058764623,6.04039461726
162.564827517,422.235026401,6.04556209361
162.864210257,424.411570998,6.05070367074
163.163592996,426.588397522,6.05581960811
163.462975736,428.765506017,6.06091016346
163.762358475,430.94289777,6.06597559355
164.061741214,433.120569272,6.07101614022
164.361123954,435.298516239,6.07603203996
164.660506693,437.476734456,6.081023526
164.959889433,439.655219771,6.08599082831
165.259272172,441.8339676,6.09093417259
165.558654912,444.012973629,6.09585378189
165.858037651,446.192227977,6.1007498636
166.157420391,448.371735323,6.1056226547
166.45680313,450.551497273,6.11047238189
166.756185869,452.731505039,6.11529924566
167.055568609,454.911753495,6.12010345178
167.354951348,457.092241731,6.12488521239
167.654334088,459.272969108,6.12964473723
167.953716827,461.453935048,6.13438223325
168.253099567,463.635138911,6.13909790435
168.552482306,465.816574843,6.14379194042
168.851865045,467.998238342,6.14846453168
169.151247785,470.180102844,6.15311581884
169.450630524,472.362192388,6.15774604807
169.750013264,474.54450423,6.1623554055
170.049396003,476.727036008,6.16694407553
170.348778743,478.909785409,6.17151224023
170.648161482,481.092750157,6.17606007929
170.947544222,483.275928026,6.18058777009
171.246926961,485.459316827,6.18509548778
171.5463097,487.642914398,6.18958340521
171.84569244,489.826721225,6.19405169841
172.145075179,492.010721217,6.19850050735
172.444457919,494.194909693,6.20292999341
172.743840658,496.379304343,6.20734036097
173.043223398,498.563897593,6.21173176091
173.342606137,500.748683213,6.21610434491
173.641988877,502.933661011,6.22045827474
173.941371616,505.11883182,6.22479371213
174.240754355,507.304196503,6.22911081677
174.540137095,509.489755951,6.23340974638
174.839519834,511.675506036,6.23769064684
175.138902574,513.861440724,6.24195365854
175.438285313,516.047561611,6.2461989349
175.737668053,518.233866646,6.25042662038
176.037050792,520.420355729,6.25463686142
176.336433532,522.607025953,6.25882979722
176.635816271,524.79387414,6.26300556481
176.93519901,526.980897705,6.26716430065
177.23458175,529.168094123,6.27130613965
177.533964489,531.355462183,6.27543121759
177.833347229,533.543005281,6.2795396772
178.132729968,535.730732509,6.28363167012
178.432112708,537.91864929,6.28770733923
178.731495447,540.106731206,6.29176677041
179.030878187,542.294983547,6.29581010348
179.330260926,544.483404478,6.29983746345
179.629643665,546.671991356,6.30384897239
179.929026405,548.860741573,6.307844751
180.228409144,551.049652553,6.31182491862
180.527791884,553.238721739,6.31578959325
180.827174623,555.427946681,6.31973889172
181.126557363,557.617330774,6.32367293998
181.425940102,559.806887544,6.32759188059
181.725322842,561.996604038,6.33149580724
182.024705581,564.186461933,6.33538480312
182.32408832,566.376478499,6.33925901344
182.62347106,568.56664543,6.34311853663
182.922853799,570.756960316,6.34696348037
183.222236539,572.94742616,6.3507939606
183.521619278,575.138046171,6.35461009228
183.821002018,577.328823489,6.35841198891
184.120384757,579.519755785,6.36219975329
184.419767496,581.710835826,6.3659734786
184.719150236,583.902059289,6.36973326207
185.018532975,586.093427595,6.37347920963
185.317915715,588.284942088,6.37721142591
185.617298454,590.47660281,6.38093001218
185.916681194,592.668408349,6.38463506612
186.216063933,594.860356967,6.38832668383
186.515446673,597.052446936,6.39200496035
186.814829412,599.244677689,6.39566999165
187.114212151,601.437051559,6.3993218775
187.413594891,603.629566951,6.40296071004
187.71297763,605.822222384,6.40658658063
188.01236037,608.015021754,6.41019958849
188.311743109,610.207975079,6.41379984181
188.611125849,612.401064466,6.41738740197
188.910508588,614.594293624,6.42096236495
189.209891328,616.787662314,6.42452481932
189.509274067,618.981165472,6.42807484487
189.808656806,621.174799169,6.43161252247
190.108039546,623.368564892,6.4351379408
